storeCode,storeName,orgCode,imageLink,storePhone,storeMobile,managerUserCode,taxCode,bankName,bankAccount,bankAccountName,countryCode,countryName,stateCode,stateName,cityCode,cityName,districtCode,districtName,address1,zipCode,latitude,longitude,openStatus,status,defaultScheduleList,__typename
1024073107073,SMIGGLE CENTRAL PARK,10008008,,081386077657,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001424,Kota Jakarta Barat,40001431,Grogol Petamburan,"Central Park Lt 2, Jl. Letjen S. Parman No.Kav. 28, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",11470,-6.177126507325081,106.790973158286,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024070506912,SMIGGLE CENTRE POINT MEDAN,10007799,,06180510733,,,,,,,1,Indonesia,20003336,Sumatera Utara,30003751,Kota Medan,40003754,Medan Timur,"Mall CENTER POINT LT. 1 JL. TIMOR BLOK H1, Komp. Center Point No.8, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20232",20232,3.591958494948720,98.68109371250180,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024070406910,KIDZ STATION SANUR ICON,10007797,,0361753450,,,,,,,1,Indonesia,20002217,Bali,30002270,Kota Denpasar,40002272,Denpasar Selatan,"Sanur Icon 1F-24 & 25, Jl.Danau Tamblingan No.27 Sanur, Denpasar Selatan, Denpasar, Bali 80228",80228,-8.686635824776538,115.26279188514762,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024062406744,BABY STATION KOTA KASABLANKA JAKARTA,10007631,,02129465004,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001414,Kota Jakarta Selatan,40001415,Tebet,"Mall Kota Kasablanka Lantai 2 Unit 240, Jl. Raya Casablanca No.88, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",12870,-6.224022241789465,106.84259530129303,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024061906688,KIDZ STATION AYANI MEGAMALL PONTIANAK,10007575,,0561762562,,,,,,,1,Indonesia,20004954,Kalimantan Barat,30005122,Kota Pontianak,40005125,Pontianak Selatan,"Ayani Megamall Lt. 2 Unit B2 46-47, Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113",78113,-0.051720119075213275,109.34596055332814,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024060706671,SMIGGLE GANDARIA CITY JAKARTA,10007558,,02129007949,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001414,Kota Jakarta Selatan,40001421,Kebayoran Lama,"MALL GANDARIA CITYLANTAI 1 UNIT 103A, Jl. Arteri Pd. Indah, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",12240,-6.2441704526409,106.7835278925362,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024060706670,SMIGGLE MALL KELAPA GADING JAKARTA,10007557,,02145842508,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001400,Kota Jakarta Utara,40001405,Kelapa Gading,"MALL KELAPA GADING 3 LT.2, Jl. Boulevard Raya, RT.13/RW.18, Klp. Gading Tim., Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240",14240,-6.156243326832886,106.90902857769545,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024051306610,SMIGGLE PALEMBANG ICON,10007493,,07115649366,,,,,,,1,Indonesia,20004548,Sumatera Selatan,30004763,Kota Palembang,40004774,Ilir Barat I,"PALEMBANG ICON MALL LT. UG, Jl. POM IX, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30137",30137,-2.9792774224134586,104.74510342560508,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024051306609,SMIGGLE TRANS STUDIO MAKASSAR,10007492,,04118117100,,,,,,,1,Indonesia,20006724,Sulawesi Selatan,30006724,Kota Makassar,40006725,Tamalate,"TRANS STUDIO MALL MAKASSARLT. 1  UNIT 1C -51B, Jl. H.M. Daeng Patompo, Jl. Metro Tj. Bunga, Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90134",90134,-5.159085366140027,119.39488520868251,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024051306608,SMIGGLE PENTACITY BALIKPAPAN,10007491,,05425466021,,,,,,,1,Indonesia,20000856,Kalimantan Timur,30000884,Kota Balikpapan,40000889,Balikpapan Selatan,"Jl. Jenderal Sudirman No.47, Gn. Bahagia, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur 76114",76114,-1.274152442016559,116.856760052501,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
