store_name,store_contact,full_address,full_long_lat,longitude,latitude
SKECHERS PLAZA AMBARUKMO YOGYAKARTA ,(0274)4331170,JL. LAKSDA ADISUCIPTO YOGYAKARTA ,"110.40124620,-7.78185746",110.40124620,-7.78185746
SKECHERS A.YANI PONTIANAK,0561-763 498 ,"Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113","109.34598380,-0.05016505",109.34598380,-0.05016505
SKECHERS MALL PANAKKUKANG,0411-4820492,"JL.BOULEVARD KOMP PANAKKUKANG MAS KEL:MALASE,KEC:PANAKUKANG","119.44671020,-5.15768944",119.44671020,-5.15768944
SKECHERS  SUMMARECON BEKASI,( 021 ) 29572590,JL.BOULEVARD AHMAD YANI BEKASI UTARA 17143,"107.00109900,-6.22584844",107.00109900,-6.22584844
SKECHERS TAMAN ANGGREK MALL,,"JL. S. PARMAN KAV. 21, SLIPI JAKARTA 11470 ","106.79061880,-6.17778015",106.79061880,-6.17778015
SKECHERS SOLO SQUARE,0271-731973,JL SLAMET RIYADI NO 451 - 455 SURAKARTA 57145,"110.78837340,-7.55897045",110.78837340,-7.55897045
SKECHERS RESINDA PARK KARAWANG,( 0267 ) 8407595,"JL.INTERCHANGE KARAWANG BARAT,TELUK JAMBE TIMUR,PURWADANA KABUPATEN KARAWANG BEKASI 41361","107.27777030,-6.30096160",107.27777030,-6.30096160
SKECHERS SUMMARECON SERPONG,021 - 54203431,"JL. BOULEVARD RAYA GADING SERPONG, KELAPA DUA, KEC. KELAPA DUA, TANGERANG, BANTEN 15810","106.62834030,-6.23704802",106.62834030,-6.23704802
 SKECHERS FESTIVAL CITYLINK,(022) 6128728 ,"JL. PETA NO.241, SUKA ASIH, KEC. BOJONGLOA KALER, KOTA BANDUNG, JAWA BARAT ","107.58679080,-6.92853705",107.58679080,-6.92853705
SKECHERS STAR SQUARE MANADO,0431 - 6002027,"JL.RW MONGINSIDI I KOTA MANADO KOMP.BAHU MALL MANADO SULAWESI UTARA,KEL:BAHU,KEC:MALALAYANG","124.82438880,1.46862403",124.82438880,1.46862403
SKECHERS PASIFIC PLACE,021 57973118,JL. JEND. SUDIRMAN NO KAV 52-53 ,"106.80849870,-6.22603694",106.80849870,-6.22603694
SKECHERS MANHATTAN SQUARE MEDAN,(061) 80867013,"JL. GATOT SUBROTO, PETISAH TENGAH, MEDAN PETISAH NO. 217 ","98.62654834,3.59388252",98.62654834,3.59388252
SKECHERS NIPAH MALL MAKASSAR,0411-3663377 EXT: 301,JL.URIP SUMOHARJO EX.TERMINAL PANAIKANG KEL.PANAIKANG KEC.PANAKUKANG,"119.42038810,-5.18652419",119.42038810,-5.18652419
SKECHERS PONDOK INDAH MALL 1,021-75903385,"JL. METRO PONDOK INDAH, PONDOK PINANG, KEBAYORAN LAMA","106.78459170,-6.26491396",106.78459170,-6.26491396
SKECHERS LOMBOK EPICENTRUM,0370-6172228,"JL.SRIWIJAYA NO.333 KEL.PUNIA KEC.MATARAM TIMUR,NTB","116.10466160,-8.59296850",116.10466160,-8.59296850
