store_name,store_contact,full_address,full_long_lat,longitude,latitude
CONVERSE Mall The Park Solo,089518402660,"Mall The Park Solo Lt. 1 Unit FF 21-22, Jl. Ir. Soekarno, Madegondo, Solo Baru","110.81670000,-7.59850000",110.81670000,-7.59850000
CONVERSE Palembang Indah Mall,(0711) 7623254,"Palembang Indah Mall Lt. UG No. 7-9, Jl. Letkol Iskandar, Kel. 24 Ilir, Bukit Kecil","104.75361680,-2.98427733",104.75361680,-2.98427733
CONVERSE Jogja City Mall,08112841409,"Jogja City Mall Lt. UG Unit 2-3, Jl. Magelang Km 6 No.18, Sinduadi, Mlati","110.36089800,-7.75295000",110.36089800,-7.75295000
CONVERSE Galaxy Mall Surabaya,081130512908,"Galaxy Mall Surabaya - Lt. G Unit 05, Jl. Dharmahusada Indah Timur No. 37, Mulyorejo","112.78209840,-7.27622112",112.78209840,-7.27622112
CONVERSE Galeria Mall Yogyakarta,08112840739,"Galeria Mall Yogyakarta Lt. G Unit 13-14, Jl. Jend. Sudirman No 99-101, Terban, Gondokusuman","110.37894000,-7.78269400",110.37894000,-7.78269400
CONVERSE Epicentrum Mall Lombok,081138001886,"Epicentrum Mall Lombok, Jl. Sriwijaya No. 333, Punia, Mataram Timur","116.10458470,-8.59298397",116.10458470,-8.59298397
CONVERSE Mall Alam Sutera,081119358043,"Mall Alam Sutera - Lt. 1, Jl. Jalur Sutera Barat Kav. 16, Panunggangan Timur, Pinang","106.65197300,-6.22222700",106.65197300,-6.22222700
CONVERSE Discovery Shopping Mall,081138005700,"Discovery Shopping Mall - Lt. GF Unit 3MG-12, Jl. Kartika Plaza, Kuta, Kuta","115.16815840,-8.72881005",115.16815840,-8.72881005
CONVERSE Roxy Square,085230749897,"Roxy Square Lt. G, Jl. Hayam Wuruk No. 50 - 58, Sempursari, Kaliwates,","113.66316030,-8.18351737",113.66316030,-8.18351737
CONVERSE Armada Town Square,(0293) 3218984,"Armada Town Square Lt. UG Unit 35, Jl. Mayjend Bambang Soegeng No. 1. Kedungdowo, Mertoyudan","110.22477000,-7.50369000",110.22477000,-7.50369000
CONVERSE Mall Solo Square,08112840847,"Mall Solo Square Lt. GF Unit 70A, Jl. Slamet Riyadi No. 451-455, Pajang, Laweyan","110.80946000,-7.56123000",110.80946000,-7.56123000
CONVERSE Ciputra World Surabaya,081130532531,"Ciputra World Surabaya - Lt. 2 Unit 2B, Jl. Mayjen Sungkono No. 89, Gn. Sari, Dukuhpakis","112.71935220,-7.29320813",112.71935220,-7.29320813
CONVERSE Mall Star Square Manado,(0431) 6002025,"Mall Star Square Manado Lt. 1,  Jl. RW Monginsidi I, Bahu, Malalayang","124.84207900,1.47748300",124.84207900,1.47748300
CONVERSE Lippo Kuta Icon,(0361) 8496140,"Lippo Kuta Icon Lt. UG 30B, Jl. Kartika Plasa Lingkar Segara 371, Kuta","115.16671590,-8.73552232",115.16671590,-8.73552232
CONVERSE Komplek Pertokoan Kuta Suci Arcade,(0361) 762676,"Komplek Pertokoan Kuta Suci Arcade, Jl. Pantai Kuta 18-22, Kuta","115.17268610,-8.72260158",115.17268610,-8.72260158
CONVERSE Mall Palembang Square,08116057387,"Mall Palembang Square Lt. 2 Unit 167-168, Jl. POM IX, Lorok Pakjo, Ilir Barat I","104.74217040,-2.97656550",104.74217040,-2.97656550
CONVERSE Ciputra Seraya Mall Pekanbaru,08117850291,"Ciputra Seraya Mall Pekanbaru Lt. UG, Jl. Riau No. 58, Kp. Baru, Senapelan","101.43019150,0.53620314",101.43019150,0.53620314
CONVERSE Kualanamu Airport,082167930077,"Kualanamu Airport Lt. 2, Angkasa Pura Lt. II, Bandara Kualanamu","98.87906504,3.63584380",98.87906504,3.63584380
CONVERSE Sogo Paris Van Java,081321178269,"Sogo Paris Van Java - Lt. Resort Level (RL), Jl. Sukajadi No. 137-139, Kelurahan Pasteur, Kecamatan Sukajadi","107.59604610,-6.88922124",107.59604610,-6.88922124
CONVERSE Central Department Store - Grand Indonesia,(021) 23518126,"Central Department Store - Grand Indonesia Lt 1, Dept. Central East Mall Grand Indonesia Jl. MH. Thamrin No. 1","106.82047340,-6.19510543",106.82047340,-6.19510543
